Sr No ,Category ,Sub Category,Product Name,Product Code,Product url,SKU,MRP,Sale Price,GST,Transfer Rate,Shipping,Margin,Discount,Keyword,Meta Description,Short Description,Canonical tag,Seller Name,Seller Code,Bachat Gat,ULB/City,Contact Person,Mobile No.,Email,Product Status
11,Fashion,Jewellery,Article No. 030,N30,https://udyoginimart.com/product-home/article-no-030,Pieces,350,225,0,110,0,51.11,35.71,Article No. 030,Article No. 030,30,,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,n
12,Fashion,Jewellery,Article No. 031,N31,https://udyoginimart.com/product-home/article-no-031,Pieces,300,225,0,0,0,0,0,Article No. 031,Article No. 031,This Piece Of Jewellery Comes With the Assurance Of Quality And Durability.,,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,n
13,Fashion,Jewellery,Article No. 032,N32,https://udyoginimart.com/product-home/article-no-032,Pieces,300,150,0,60,0,60,50,Article No. 032,Article No. 032,Handcrafted jewellery are made with precision and care keeping in mind the market requirements. Handcrafted jewellery is not only unique but also lasts longer,,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,n
14,Fashion,Jewellery,Article No. 033,N33,https://udyoginimart.com/product-home/article-no-033,Pieces,0,0,0,0,0,0,0,Article No. 033,Article No. 033,33,,Aaradhya,,NA,Nashik,Bhamare,7878787878,sa@gmail.com,n
15,Fashion,Jewellery,Pearl Tassel Necklace and Flower Earrings No. 034,N34,https://udyoginimart.com/product-home/pearl-tassel-necklace-and-flower-earrings-n.-034,Pieces,230,180,0,0,0,0,0,Article No. 034,Article No. 034,Elevate your elegance with our luxurious Pearl Tassel Necklace and Flower Earrings Set. This stunning jewelry ensemble is perfect for special occasions or adding a touch of glamour to any outfit.,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
16,Fashion,Jewellery,Article No. 035,N35,https://udyoginimart.com/product-home/article-no-035,Pieces,0,0,0,0,0,0,0,Article No. 035,Article No. 035,35,,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,n
17,Fashion,Jewellery,Red Beaded Necklace and Earring Set No. 036,N36,https://udyoginimart.com/product-home/Red-Beaded-Necklace-and-Earring-Set-No-036,Pieces,300,245,0,180,0,26.53,18.33,Red Beaded Necklace and Earring Set,Red Beaded Necklace and Earring Set,"Elevate your ensemble with this exquisite Red Beaded Necklace and Earring Set, perfect for adding a touch of elegance to any special occasion.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
18,Fashion,Jewellery,Article No. A5,A5,https://udyoginimart.com/product-home/article-no.-a,Pieces,0,0,0,0,0,0,0,Article No. 037,Article No. 037,A5,,Ladies Kart by Wings of Women MBG,,Wings of women,Mira-Bhayandar,Sumaiya Ansari,8898225088,,n
19,Fashion,Jewellery,Article No. 038,N38,https://udyoginimart.com/product-home/article-no-038,Pieces,0,0,0,0,0,0,0,Article No. 038,Article No. 038,38,,Aaradhya,,NA,Nashik,Bhamare,7878787878,sa@gmail.com,n
20,Fashion,Jewellery,Article No. 039,N39,https://udyoginimart.com/product-home/article-no-039,Pieces,250,152,0,0,0,0,0,Article No. 039,Article No. 039,39,,Aaradhya,,NA,Nashik,Bhamare,7878787878,sa@gmail.com,n
21,Gifting and Accessories,House Gifting,Article No. 040,,https://udyoginimart.com/product-home/article-no-040,Pieces,450,300,0,0,0,0,0,Article No. 040,Article No. 040,40,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
22,Gifting and Accessories,House Gifting,Article No. 041,,https://udyoginimart.com/product-home/article-no-041,Pieces,0,0,0,0,0,0,0,Article No. 041,Article No. 041,41,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
23,Gifting and Accessories,House Gifting,Article No. 042,,https://udyoginimart.com/product-home/article-no-042,Pieces,0,0,0,0,0,0,0,Article No. 042,Article No. 042,42,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
24,Gifting and Accessories,House Gifting,Article No. 043,,https://udyoginimart.com/product-home/article-no-043,Pieces,0,0,0,0,0,0,0,Article No. 043,Article No. 043,43,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
25,Gifting and Accessories,House Gifting,Article No. 044,,https://udyoginimart.com/product-home/article-no-044,Pieces,0,0,0,0,0,0,0,Article No. 044,Article No. 044,44,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
26,Gifting and Accessories,House Gifting,Article No. 045,,https://udyoginimart.com/product-home/article-no-045,Pieces,0,0,0,0,0,0,0,Article No. 045,Article No. 045,45,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
27,Gifting and Accessories,House Gifting,Article No. 046,,https://udyoginimart.com/product-home/article-no-046,Pieces,0,0,0,0,0,0,0,Article No. 046,Article No. 046,46,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
28,Fashion,Jewellery,Pearl Necklace Set with Earrings No. 047,A047,https://udyoginimart.com/product-home/article-no-047,Pieces,0,0,0,0,0,0,0,Article No. 047,Pearl Necklace Set with Earrings,"Elevate your ensemble with this imitation Pearl Necklace Set, featuring an elegant multi-strand white pearl necklace paired with matching drop earrings.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
29,Fashion,Jewellery,Article No. 048,,https://udyoginimart.com/product-home/article-no-048,Pieces,0,0,0,0,0,0,0,Article No. 048,Article No. 048,"Mahila Bachat Gat Presenting You all New And Beautiful Fashion Jewelry, Perfectly Designed For Any Occasion",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
30,Fashion,Jewellery,Article No. 049,,https://udyoginimart.com/product-home/article-no-049,Pieces,0,0,0,0,0,0,0,Article No. 049,Article No. 049,49,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
31,Fashion,Jewellery,Article No. 050,,https://udyoginimart.com/product-home/article-no-050,Pieces,0,0,0,0,0,0,0,Article No. 050,Article No. 050,50,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
32,Fashion,Jewellery,Article No. 051,,https://udyoginimart.com/product-home/article-no-051,Pieces,0,0,0,0,0,0,0,Article No. 051,Article No. 051,"white/red/golden. Easy to wear, light in weight & gives you a rich look perfectly crafted for women and girls.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
33,Fashion,Jewellery,Article No. 052,,https://udyoginimart.com/product-home/article-no-052,Pieces,0,0,0,0,0,0,0,Article No. 052,Article No. 052,52,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
34,Fashion,Jewellery,Article No. 053,,https://udyoginimart.com/product-home/article-no-053,Pieces,0,0,0,0,0,0,0,Article No. 053,Article No. 053,53,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
35,Fashion,Jewellery,Article No. 054,,https://udyoginimart.com/product-home/article-no-054,Pieces,0,0,0,0,0,0,0,Article No. 054,Article No. 054,54,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
36,Fashion,Jewellery,Article No. 055,,https://udyoginimart.com/product-home/article-no-055,Pieces,0,0,0,0,0,0,0,Article No. 055,Article No. 055,55,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
37,Fashion,Kids,Article No. 056,A06,https://udyoginimart.com/product-home/article-no-056,Pieces,0,0,0,0,0,0,0,Article No. 056,Article No. 056,The Jhabala topi is a charming ensemble designed specifically for infants.,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
38,Gifting and Accessories,House Gifting,Article No. 057,,https://udyoginimart.com/product-home/article-no-057,Pieces,0,0,0,0,0,0,0,Article No. 057,Article No. 057,57,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
39,Fashion,Kids,Article No. 058,,https://udyoginimart.com/product-home/article-no-058,S,200,150,0,0,0,0,0,Article No. 058,Article No. 058,58,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
40,Fashion,Jewellery,Article No. 059,,https://udyoginimart.com/product-home/article-no-059,Pieces,0,0,0,0,0,0,0,Article No. 059,Article No. 059,59,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
41,Fashion,Jewellery,Moti Haar (Kanthi) No. 060,A060,https://udyoginimart.com/product-home/moti-haar-(kanthi)article-no.-060,Pieces,0,0,0,0,0,0,0,Article No. 060,Article No. 060,"Introducing the exquisite Ganpati Kanthi, a radiant expression of devotion and artistry. This stunning necklace is meticulously crafted to honor Lord Ganesha, the beloved deity revered for wisdom, prosperity, and auspicious beginnings.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
42,Fashion,Jewellery,Moti Haar (Kanthi) No. 061,A061,https://udyoginimart.com/product-home/moti-haar-(kanthiarticle-no.-061,Pieces,0,0,0,0,0,0,0,Article No. 061,Article No. 061,"Introducing the exquisite Ganpati Kanthi, a radiant expression of devotion and artistry. This stunning necklace is meticulously crafted to honor Lord Ganesha, the beloved deity revered for wisdom, prosperity, and auspicious beginnings.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
43,Fashion,Jewellery,Article No. 062,,https://udyoginimart.com/product-home/article-no-062,Pieces,0,0,0,0,0,0,0,Article No. 062,Article No. 062,62,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
44,Fashion,Jewellery,Article No. 063,,https://udyoginimart.com/product-home/article-no-063,Pieces,0,0,0,0,0,0,0,Article No. 063,Article No. 063,63,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
45,Fashion,Jewellery,Article No. 064,,https://udyoginimart.com/product-home/article-no-064,Pieces,0,0,0,0,0,0,0,Article No. 064,Article No. 064,64,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
46,Fashion,Jewellery,Article No. 065,,https://udyoginimart.com/product-home/article-no-065,Pieces,0,0,0,0,0,0,0,Article No. 065,Article No. 065,65,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
47,Fashion,Jewellery,Article No. 066,,https://udyoginimart.com/product-home/article-no-066,Pieces,0,0,0,0,0,0,0,Article No. 066,Article No. 066,66,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
48,Fashion,Jewellery,Article No. 067,,https://udyoginimart.com/product-home/article-no-067,Pieces,0,0,0,0,0,0,0,Article No. 067,Article No. 067,67,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
49,Fashion,Jewellery,Article No. 068,,https://udyoginimart.com/product-home/article-no-068,Pieces,0,0,0,0,0,0,0,Article No. 068,Article No. 068,68,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
50,Fashion,Jewellery,Article No. 069,,https://udyoginimart.com/product-home/article-no-069,Pieces,0,0,0,0,0,0,0,Article No. 069,Article No. 069,69,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
51,Fashion,Jewellery,Article No. 070,,https://udyoginimart.com/product-home/article-no-070,Pieces,0,0,0,0,0,0,0,Article No. 070,Article No. 070,70,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
52,Fashion,Jewellery,Article No. 071,,https://udyoginimart.com/product-home/article-no-071,Pieces,0,0,0,0,0,0,0,Article No. 071,Article No. 071,71,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
53,Fashion,Jewellery,Article No. 072,,https://udyoginimart.com/product-home/article-no-072,Pieces,0,0,0,0,0,0,0,Article No. 072,Article No. 072,72,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
54,Fashion,Jewellery,Article No. 073,,https://udyoginimart.com/product-home/article-no-073,Pieces,0,0,0,0,0,0,0,Article No. 073,Article No. 073,73,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
55,Fashion,Jewellery,Article No. 074,,https://udyoginimart.com/product-home/article-no-074,Pieces,0,0,0,0,0,0,0,Article No. 074,Article No. 074,74,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
56,Fashion,Jewellery,Article No. 075,,https://udyoginimart.com/product-home/article-no-075,Pieces,0,0,0,0,0,0,0,Article No. 075,Article No. 075,75,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
57,Fashion,Jewellery,Article No. 076,,https://udyoginimart.com/product-home/article-no-076,Pieces,0,0,0,0,0,0,0,Article No. 076,Article No. 076,76,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
58,Fashion,Jewellery,Article No. 077,,https://udyoginimart.com/product-home/article-no-077,Pieces,0,0,0,0,0,0,0,Article No. 077,Article No. 077,77,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
59,Fashion,Jewellery,Article No. 078,,https://udyoginimart.com/product-home/article-no-078,Pieces,0,0,0,0,0,0,0,Article No. 078,Article No. 078,78,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
60,Fashion,Jewellery,Article No. 079,,https://udyoginimart.com/product-home/article-no-079,Pieces,0,0,0,0,0,0,0,Article No. 079,Article No. 079,79,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
61,Fashion,Jewellery,Article No. 080,,https://udyoginimart.com/product-home/article-no-080,Pieces,0,0,0,0,0,0,0,Article No. 080,Article No. 080,80,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
62,Home Decor,Candles,Article No. 082,,https://udyoginimart.com/product-home/article-no-082,Pieces,0,0,0,0,0,0,0,Article No. 082,Article No. 082,82,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
63,Home Decor,Candles,Article No. 083,,https://udyoginimart.com/product-home/article-no-083,Pieces,0,0,0,0,0,0,0,Article No. 083,Article No. 083,83,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
64,Home Decor,Candles,Article No. 084,,https://udyoginimart.com/product-home/article-no-084,Pieces,0,0,0,0,0,0,0,Article No. 084,Article No. 084,84,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
65,Fashion,Jewellery,Maharashtrian Style Chinchpeti Set N04,N04,https://udyoginimart.com/product-home/Maharashtrian-Style-Chinchpeti-Set-N04,Pieces,235,175,0,80,0,54.29,25.53,Maharashtrian Style Chinchpeti Set,Maharashtrian Style Chinchpeti Set,"This exquisite jewelry set combines elegance with traditional charm, making it perfect for special occasions like weddings or traditional events.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
66,Gifting and Accessories,House Gifting,Vitthu mauli frames,,https://udyoginimart.com/product-home/vitthu-mauli-frame,Qty,300,11,0,0,0,0,0,vitthu mauli frame,vitthu mauli frame,"Style : Unique, Colour : Orange And Black, It can be used for Living room, Bedroom, Hall, Dining Room, Home décor and for gifting purposes.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
67,Home Decor,Rangoli,Rangoli Mats,,https://udyoginimart.com/product-home/rangoli-mat,Pieces,150,100,0,0,0,0,0,Rangoli Mats,Rangoli Mats,74,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
68,Home Decor,Wall Frames,Wall Frame,mnk123,https://udyoginimart.com/product-home/wall-frame,Qty,1200,1000,0,745,0,25.5,16.67,Wall Frame,Wall Frame,"Enhance your home decor with this exquisite decorative frame, featuring intricate golden carvings and patterns that exude elegance and sophistication.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
69,Fashion,Mens Wear,Traditional Paithani Jacket,PP10,https://udyoginimart.com/product-home/traditional-paithani-jacket,XL,1500,899,0,0,0,0,0,Traditional Paithani Jacket,Traditional Paithani Jacket,"Traditional Paithani Jacket The jacket showcases the exquisite craftsmanship associated with Paithani silk, a luxurious fabric originating from Maharashtra, India.",,Shri Jagruti MBG,,NA,Yeola,Jagruti,8983835518,,y
70,Daily Household,Pickles,Kaimili Pickle,,https://udyoginimart.com/product-home/kaimii-pickle,Qty,200,149,0,0,0,0,0,KaiMiLi Pickle,Kaimili Pickle,"Tender mangoes plucked from the stem are seasoned with salt, mustard powder, chilli powder and a little oil, to get the perfectly wrinkled tender mangoes, bringing back memories of home.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
71,Pooja Samgri,Pooja Aarti,Pooja Thali,SM01,https://udyoginimart.com/product-home/pooja-thali,Qty,200,195,0,0,0,0,0,Pooja Thali,Pooja Thali,"Introducing the Borosilicate Glass Pooja Thali, a perfect blend of elegance, durability, and functionality designed to enhance your daily rituals and festive celebrations.",,Sharu Creation by Shri Saksham Mahila Bachat Gat,,Shri Saksham MBG,Mira-Bhayandar,Shalakha Masavkar,9773680654,,n
72,Pooja Samgri,Pooja Aarti,Pooja Thali with Aarti,SM02,https://udyoginimart.com/product-home/pooja-thali-with-aarti,Qty,300,280,0,0,0,0,0,Pooja Thali with Aarti,Pooja Thali with Aarti,"Elevate your spiritual rituals with the exquisite Borosilicate Glass Pooja Thali, a perfect blend of traditional devotion and modern sophistication.",,Sharu Creation by Shri Saksham Mahila Bachat Gat,,Shri Saksham MBG,Mira-Bhayandar,Shalakha Masavkar,9773680654,,n
73,Home Decor,Wall Frames,Wall Frame Birds,bat1235,https://udyoginimart.com/product-home/wall-frame-birds,Qty,300,250,0,115,0,54,16.67,Wall Frame Birds,Wall Frame Birds,Add a Touch of Whimsy to Your Home with Art Lovers’ Decorative Birds Transform your living space with our charming collection of decorative birds from Art Lovers.,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
74,Home Decor,Wall Frames,Wall Frame House,kim789,https://udyoginimart.com/product-home/wall-frame-house,Qty,800,650,0,460,0,29.23,18.75,Wall Frame House,Wall Frame House,Vintage design wall art decoration for home. Living room wall decor art piece easy to hang. Bedroom wall painting set.,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
75,Home Decor,Rangoli,Rangoli sticker,,https://udyoginimart.com/product-home/rangoli-sticker,Qty,200,149,0,0,0,0,0,Rangoli sticker,Rangoli sticker,"Material: PVC Vinyl, Color: Multicolour, Package Contents: 1 Rangoli Sticker, Sticker Shape : Round",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
76,Gifting and Accessories,Corporate Gifting,Bouquet with concept,MC12,https://udyoginimart.com/product-home/Bouquet-with-concept,Qty,300,249,0,0,0,0,0,bouquet with concept,bokeh with concept,The Napkin bouquet is a unique and practical gift item that combines the aesthetic appeal of a floral arrangement with the functionality of high-quality napkin. The Napkin bouquet is a unique and practical gift item that combines the aesthetic appeal,,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
77,Gifting and Accessories,Corporate Gifting,Crafted bouquet,MC11,https://udyoginimart.com/product-home/crafted-bouquet,Qty,300,249,0,145,0,41.77,17,Crafted Bokeh,Crafted bouquet,"A Great Gift for Any Occasion Extra soft and absorbent Plush Soft Towels Comfortable, extra soft, breathable, stylish and super absorbent and faster drying Long-lasting fade resistant fabric",,Mahalaxmi Crafts by Nirmiti MBG,,Nirmiti MBG,Kolhapur,Ashwini Damkale,9579389181,,y
78,Gifting and Accessories,Bamboo Art,Handcrafted Bamboo Ship,MC01,https://udyoginimart.com/product-home/handcrafted-bambo-ship,Qty,3200,3000,0,800,0,73.33,6.25,Hand Made Ship,Hand Made Ship,"Discover our handcrafted bamboo ship, a stunning showpiece that adds a touch of sophistication to any setting. Expertly created by skilled artisans, this decorative ship highlights the natural allure and durability of bamboo.",,Sukakarta Mahila Bachat Gat,,Sukakarta MBG,Vasai Virar,Mamata Chavan,7350363787,,y
79,Pooja Samgri,Diyas and Lamps,Diwali Diya Combo,SACMB01,https://udyoginimart.com/product-home/diwali-diya-combo,Pieces,300,249,0,180,0,27.71,17,Diwali-Diya,Diwali-Diya,"Illuminate your festive celebrations with this exquisite combination of five handcrafted clay diyas. Perfect for festivals or any special occasion, these diyas bring a touch of traditional Indian artistry to your home decor.",,Samarth Art by Nav Lotus MBG,,Nav Lotus MBG,Mira-Bhayandar,Harshada Gadekar,8767976131,,y
80,Pooja Samgri,Diyas and Lamps,Diya,,https://udyoginimart.com/product-home/diya,Pieces,140,90,0,0,0,0,0,Diya,Diya,"Handcrafted Product, Can be used as Decorative tray for gifting Purpose.",,Aaradhya,,NA,Nashik,Bhamare,7878787878,sa@gmail.com,n
81,Fashion,Jewellery,Leaves Handmade Necklace - Terracotta A3,LHNT01,https://udyoginimart.com/product-home/Leaves-Handmade-Necklace-Terracotta-A3,Pieces,700,635,0,475,0,25.2,9.29,Leaves Handmade Nicklace,Leaves Handmade Nicklace,"Elevate your style with the Artisan Elegance Terracotta Jewelry Set, a stunning tribute to timeless craftsmanship and contemporary flair.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
82,Fashion,Jewellery,Golden color Necklace With Earring Sets-Terracotta A1,mam789,https://udyoginimart.com/product-home/Golden-color-Necklace-With-Earring-Sets-Terracotta-A1,Pieces,850,775,0,580,0,25.16,8.82,Gold Plated Necklace With Earring Sets,Gold Plated Necklace With Earring Sets,"Elevate your style with the Artisan Elegance Terracotta Jewelry Set, a stunning tribute to timeless craftsmanship and contemporary flair.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
83,Pooja Samgri,Diyas and Lamps,Round Type Diya,J11,https://udyoginimart.com/product-home/round-type-diya,Qty,300,149,0,80,0,46.31,50.33,Round Type Diya,Round Type Diya,Illuminate your home with the traditional elegance of this exquisite pair of diyas.,,10 Star MBG,,10 Star MBG,Vasai Virar,Jaya Kadam,7798485126,,y
84,Fashion,Jewellery,Jewellery Set For Women Pendant Necklace-Terracotta A7,baz789,https://udyoginimart.com/product-home/Jewellery-Set-For-Women-Pendant-Necklace,Qty,1500,999,0,480,0,51.95,33.4,Jewellery Set For Women Pendant Necklace,Jewellery Set For Women Pendant Necklace,"Elevate your style with the Artisan Elegance Terracotta Jewelry Set, a stunning tribute to timeless craftsmanship and contemporary flair.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,y
85,Pooja Samgri,Diyas and Lamps,Colorful Diyas for Puja,SA13,https://udyoginimart.com/product-home/colorful-diyas-for-puja,Pieces,150,80,0,45,0,43.75,46.67,Colorful Diyas for Puja,Colorful Diyas for Puja,"Illuminate your home with the vibrant charm of these traditional Indian clay diyas. Crafted with meticulous attention to detail, each diya showcases an intricate pattern embossed into its red clay bowl.",,Samarth Art by Nav Lotus MBG,,Nav Lotus MBG,Mira-Bhayandar,Harshada Gadekar,8767976131,,y
